CD_MUNICIPIO_7,CD_MUNICIPIO,REGIONAL_SAUDE,NM_CIDADE,UF_MUNICIPIO,NM_REGIAO,CIDADES_HABITANTES,ID_SINGULAR
5200050,520005,Central,Abadia de Goiás,GO,Centro-Oeste,9158,020
3100104,310010,Uberlândia,Abadia dos Dourados,MG,Sudeste,7022,045
5200100,520010,Pirineus,Abadiânia,GO,Centro-Oeste,20873,
3100203,310020,Sete Lagoas,Abaeté,MG,Sudeste,23263,045
1500107,150010,Alça Viária,Abaetetuba,PA,Norte,160439,029
2300101,230010,Brejo Santo,Abaiara,CE,Nordeste,11965,040
2900108,290010,Seabra,Abaíra,BA,Nordeste,8681,
2900207,290020,Paulo Afonso,Abaré,BA,Nordeste,20594,162
4100103,410010,Cornélio Procópio,Abatiá,PR,Sul,7360,046
4200051,420005,Joaçaba,Abdon Batista,SC,Sul,2534,011
1500131,150013,Rodovia BR 222,Abel Figueiredo,PA,Norte,7536,029
4200101,420010,Xanxerê,Abelardo Luz,SC,Sul,18015,011
3100302,310030,Manhumirim,Abre Campo,MG,Sudeste,13434,045
2600054,260005,Recife,Abreu e Lima,PE,Nordeste,100698,
1700251,170025,Região de Saúde do Cantão,Abreulândia,TO,Norte,2609,001
3100401,310040,Ponte Nova,Acaiaca,MG,Sudeste,3995,045
2100055,210005,Carajás,Açailândia,MA,Nordeste,113783,029
2900306,290030,Alagoinhas,Acajutiba,BA,Nordeste,15214,
1500206,150020,Rodovia PA-140/Rio Capim,Acará,PA,Norte,55744,029
2300150,230015,Maracanaú,Acarape,CE,Nordeste,15140,040
2300200,230020,Acaraú,Acaraú,CE,Nordeste,63556,040
2400109,240010,IV ETAM,Acari,RN,Nordeste,11106,112
2200053,220005,TD Vale do Rio Guaribas,Acauã,PI,Nordeste,7119,
4300034,430003,CRS 07 Bagé,Aceguá,RS,Sul,4981,074
2300309,230030,Iguatu,Acopiara,CE,Nordeste,54687,040
5100102,510010,Baixada Cuiabana,Acorizal,MT,Centro-Oeste,5309,062
1200013,120001,Acre,Acrelândia,AC,Norte,15721,169
5200134,520013,Sudoeste I,Acreúna,GO,Centro-Oeste,22710,130
2400208,240020,II ETAM,Açu,RN,Nordeste,58743,148
3100500,310050,Coronel Fabriciano,Açucena,MG,Sudeste,9270,045
3500105,350010,Marília,Adamantina,SP,Sudeste,35153,075
5200159,520015,Oeste II,Adelândia,GO,Centro-Oeste,2515,
3500204,350020,São José do Rio Preto,Adolfo,SP,Sudeste,3545,026
4100202,410020,Metropolitana,Adrianópolis,PR,Sul,5797,052
2900355,290035,Cícero Dantas,Adustina,BA,Nordeste,17209,162
2600104,260010,Afogados da Ingazeira,Afogados da Ingazeira,PE,Nordeste,37546,
2400307,240030,III ETAM,Afonso Bezerra,RN,Nordeste,11024,
3200102,320010,SR Vitória,Afonso Cláudio,ES,Sudeste,30326,156
2100105,210010,Alto Munim,Afonso Cunha,MA,Nordeste,6631,029
2600203,260020,Petrolina,Afrânio,PE,Nordeste,19981,
1500305,150030,Marajó Oriental,Afuá,PA,Norte,39910,029
2600302,260030,Caruaru,Agrestina,PE,Nordeste,25240,088
2200103,220010,TD Entre Rios,Agricolândia,PI,Nordeste,5123,
4200200,420020,Rio do Sul,Agrolândia,SC,Sul,11160,011
4200309,420030,Rio do Sul,Agronômica,SC,Sul,5570,011
1500347,150034,Araguaia-Xingu,Água Azul do Norte,PA,Norte,27797,029
3100609,310060,Governador Valadares,Água Boa,MG,Sudeste,13319,045
5100201,510020,Água Boa,Água Boa,MT,Centro-Oeste,26679,062
2200202,220020,TD Entre Rios,Água Branca,PI,Nordeste,17525,
2500106,250010,XI Núcleo Regional de Saúde,Água Branca,PB,Nordeste,10375,
2700102,270010,Região 03,Água Branca,AL,Nordeste,20263,167
5000203,500020,NCT de Três Lagoas,Água Clara,MS,Centro-Oeste,16025,004
3100708,310070,Uberaba,Água Comprida,MG,Sudeste,1986,
4200408,420040,Joaçaba,Água Doce,SC,Sul,7160,011
2100154,210015,Delta do Parnaíba,Água Doce do Maranhão,MA,Nordeste,12731,029
3200169,320016,SR Colatina,Água Doce do Norte,ES,Sudeste,10801,156
2900405,290040,Serrinha,Água Fria,BA,Nordeste,17096,
5200175,520017,Entorno Norte,Água Fria de Goiás,GO,Centro-Oeste,5843,
5200209,520020,Sul,Água Limpa,GO,Centro-Oeste,1809,056
2400406,240040,VI ETAM,Água Nova,RN,Nordeste,3293,
2600401,260040,Palmares,Água Preta,PE,Nordeste,37386,
4300059,430005,CRS 06 Passo Fundo,Água Santa,RS,Sul,3738,014
3500303,350030,São João da Boa Vista,Aguaí,SP,Sudeste,36981,008
3100807,310080,Divinópolis,Aguanil,MG,Sudeste,4557,045
2600500,260050,Garanhuns,Águas Belas,PE,Nordeste,43923,104
3500402,350040,São João da Boa Vista,Águas da Prata,SP,Sudeste,8262,008
4200507,420050,Chapecó,Águas de Chapecó,SC,Sul,6544,011
3500501,350050,Campinas,Águas de Lindóia,SP,Sudeste,18908,008
3500550,350055,Bauru,Águas de Santa Bárbara,SP,Sudeste,6142,072
3500600,350060,Piracicaba,Águas de São Pedro,SP,Sudeste,3588,016
