cd_municipio_7,regional_saude,nm_cidade,uf_municipio,nm_regiao,cidades_habitantes,id_singular,reg_ans
1100015,II Delegacia Regional de Saúde,Alta Floresta D'Oeste,RO,Norte,22787,166,336025
1100023,Departamento de Epidemiologia,Ariquemes,RO,Norte,109170,166,336025
1100031,III Delegacia Regional de Saúde,Cabixi,RO,Norte,5664,166,336025
1100049,II Delegacia Regional de Saúde,Cacoal,RO,Norte,98280,166,336025
1100056,III Delegacia Regional de Saúde,Cerejeiras,RO,Norte,16966,166,336025
1100064,III Delegacia Regional de Saúde,Colorado do Oeste,RO,Norte,16508,166,336025
1100072,III Delegacia Regional de Saúde,Corumbiara,RO,Norte,7968,166,336025
1100080,I Delegacia Regional de Saúde,Costa Marques,RO,Norte,13510,166,336025
1100098,II Delegacia Regional de Saúde,Espigão D'Oeste,RO,Norte,32842,166,336025
1100106,Departamento de Epidemiologia,Guajará-Mirim,RO,Norte,43594,166,336025
1100114,I Delegacia Regional de Saúde,Jaru,RO,Norte,55682,166,336025
1100122,I Delegacia Regional de Saúde,Ji-Paraná,RO,Norte,140101,166,336025
1100130,Departamento de Epidemiologia,Machadinho D'Oeste,RO,Norte,34149,166,336025
1100148,II Delegacia Regional de Saúde,Nova Brasilândia D'Oeste,RO,Norte,16374,166,336025
1100155,I Delegacia Regional de Saúde,Ouro Preto do Oeste,RO,Norte,38684,166,336025
1100189,II Delegacia Regional de Saúde,Pimenta Bueno,RO,Norte,39220,166,336025
1100205,Departamento de Epidemiologia,Porto Velho,RO,Norte,517709,166,336025
1100254,I Delegacia Regional de Saúde,Presidente Médici,RO,Norte,20443,166,336025
1100262,Departamento de Epidemiologia,Rio Crespo,RO,Norte,3767,166,336025
1100288,II Delegacia Regional de Saúde,Rolim de Moura,RO,Norte,62959,166,336025
1100296,II Delegacia Regional de Saúde,Santa Luzia D'Oeste,RO,Norte,7837,166,336025
1100304,III Delegacia Regional de Saúde,Vilhena,RO,Norte,109651,166,336025
1100320,I Delegacia Regional de Saúde,São Miguel do Guaporé,RO,Norte,22305,166,336025
1100338,Departamento de Epidemiologia,Nova Mamoré,RO,Norte,28701,166,336025
1100346,I Delegacia Regional de Saúde,Alvorada D'Oeste,RO,Norte,13720,166,336025
1100379,II Delegacia Regional de Saúde,Alto Alegre dos Parecis,RO,Norte,12237,166,336025
1100403,Departamento de Epidemiologia,Alto Paraíso,RO,Norte,17467,166,336025
1100452,Departamento de Epidemiologia,Buritis,RO,Norte,30649,166,336025
1100502,II Delegacia Regional de Saúde,Novo Horizonte do Oeste,RO,Norte,7972,166,336025
1100601,Departamento de Epidemiologia,Cacaulândia,RO,Norte,4292,166,336025
1100700,Departamento de Epidemiologia,Campo Novo de Rondônia,RO,Norte,9095,166,336025
1100809,Departamento de Epidemiologia,Candeias do Jamari,RO,Norte,24313,166,336025
1100908,II Delegacia Regional de Saúde,Castanheiras,RO,Norte,3450,166,336025
1100924,III Delegacia Regional de Saúde,Chupinguaia,RO,Norte,10191,166,336025
1100940,Departamento de Epidemiologia,Cujubim,RO,Norte,15877,166,336025
1101005,I Delegacia Regional de Saúde,Governador Jorge Teixeira,RO,Norte,8340,166,336025
1101104,Departamento de Epidemiologia,Itapuã do Oeste,RO,Norte,9228,166,336025
1101203,II Delegacia Regional de Saúde,Ministro Andreazza,RO,Norte,6519,166,336025
1101302,I Delegacia Regional de Saúde,Mirante da Serra,RO,Norte,9657,166,336025
1101401,Departamento de Epidemiologia,Monte Negro,RO,Norte,12168,166,336025
1101435,I Delegacia Regional de Saúde,Nova União,RO,Norte,6541,166,336025
1101450,II Delegacia Regional de Saúde,Parecis,RO,Norte,4372,166,336025
1101468,III Delegacia Regional de Saúde,Pimenteiras do Oeste,RO,Norte,2309,166,336025
1101476,II Delegacia Regional de Saúde,Primavera de Rondônia,RO,Norte,3268,166,336025
1101484,II Delegacia Regional de Saúde,São Felipe D'Oeste,RO,Norte,5588,166,336025
1101492,I Delegacia Regional de Saúde,São Francisco do Guaporé,RO,Norte,17557,166,336025
1101500,I Delegacia Regional de Saúde,Seringueiras,RO,Norte,12965,166,336025
1101559,I Delegacia Regional de Saúde,Teixeirópolis,RO,Norte,4521,166,336025
1101609,I Delegacia Regional de Saúde,Theobroma,RO,Norte,8459,166,336025
1101708,I Delegacia Regional de Saúde,Urupá,RO,Norte,11314,166,336025
1101757,Departamento de Epidemiologia,Vale do Anari,RO,Norte,8220,166,336025
1101807,I Delegacia Regional de Saúde,Vale do Paraíso,RO,Norte,6790,166,336025
1200013,Acre,Acrelândia,AC,Norte,14712,169,403997
1200054,Brasiléia,Assis Brasil,AC,Norte,8648,169,403997
1200104,Brasiléia,Brasiléia,AC,Norte,28028,169,403997
1200138,Acre,Bujari,AC,Norte,13928,169,403997
1200179,Acre,Capixaba,AC,Norte,10981,169,403997
1200203,Cruzeiro do Sul,Cruzeiro do Sul,AC,Norte,98916,169,403997
1200252,Brasiléia,Epitaciolândia,AC,Norte,19874,169,403997
1200302,Cruzeiro do Sul,Feijó,AC,Norte,37764,169,403997
1200328,Cruzeiro do Sul,Jordão,AC,Norte,9884,169,403997
1200336,Cruzeiro do Sul,Mâncio Lima,AC,Norte,20479,169,403997
1200344,Acre,Manoel Urbano,AC,Norte,12923,169,403997
1200351,Cruzeiro do Sul,Marechal Thaumaturgo,AC,Norte,18057,169,403997
1200385,Acre,Plácido de Castro,AC,Norte,17107,169,403997
1200393,Cruzeiro do Sul,Porto Walter,AC,Norte,11333,169,403997
1200401,Acre,Rio Branco,AC,Norte,389001,169,403997
1200427,Cruzeiro do Sul,Rodrigues Alves,AC,Norte,15560,169,403997
1200435,Acre,Santa Rosa do Purus,AC,Norte,7217,169,403997
1200450,Acre,Senador Guiomard,AC,Norte,22402,169,403997
1200500,Acre,Sena Madureira,AC,Norte,44049,169,403997
1200609,Cruzeiro do Sul,Tarauacá,AC,Norte,46816,169,403997
1200708,Brasiléia,Xapuri,AC,Norte,19170,169,403997
1200807,Acre,Porto Acre,AC,Norte,17523,169,403997
1300029,Triângulo,Alvarães,AM,Norte,16806,037,311391
1300060,Alto Solimões,Amaturá,AM,Norte,11533,037,311391
1300086,Rio Negro e Solimões,Anamã,AM,Norte,9981,037,311391
1300102,Rio Negro e Solimões,Anori,AM,Norte,18056,037,311391
1300144,Amazonas,Apuí,AM,Norte,21781,037,311391
1300201,Alto Solimões,Atalaia do Norte,AM,Norte,15889,037,311391
1300300,Entorno de Manaus,Autazes,AM,Norte,45960,037,311391
1300409,Amazonas,Barcelos,AM,Norte,18210,037,311391
1300508,Baixo Amazonas,Barreirinha,AM,Norte,33722,037,311391
1300607,Alto Solimões,Benjamin Constant,AM,Norte,40908,037,311391
1300631,Rio Negro e Solimões,Beruri,AM,Norte,22495,037,311391
1300680,Baixo Amazonas,Boa Vista do Ramos,AM,Norte,26479,037,311391
1300706,Amazonas,Boca do Acre,AM,Norte,38792,037,311391
1300805,Amazonas,Borba,AM,Norte,34869,037,311391
1300839,Rio Negro e Solimões,Caapiranga,AM,Norte,14806,037,311391
1300904,Amazonas,Canutama,AM,Norte,18109,037,311391
1301001,Triângulo,Carauari,AM,Norte,31130,037,311391
1301100,Entorno de Manaus,Careiro,AM,Norte,32336,037,311391
1301159,Entorno de Manaus,Careiro da Várzea,AM,Norte,20324,037,311391
1301209,Amazonas,Coari,AM,Norte,73576,037,311391
1301308,Amazonas,Codajás,AM,Norte,24572,037,311391
1301407,Triângulo,Eirunepé,AM,Norte,35793,037,311391
1301506,Triângulo,Envira,AM,Norte,17985,037,311391
1301605,Triângulo,Fonte Boa,AM,Norte,28227,037,311391
1301654,Amazonas,Guajará,AM,Norte,14344,037,311391
1301704,Amazonas,Humaitá,AM,Norte,63454,037,311391
1301803,Amazonas,Ipixuna,AM,Norte,25629,037,311391
1301852,Entorno de Manaus,Iranduba,AM,Norte,68862,037,311391
1301902,Médio Amazonas,Itacoatiara,AM,Norte,113917,037,311391
1301951,Triângulo,Itamarati,AM,Norte,11956,037,311391
1302009,Médio Amazonas,Itapiranga,AM,Norte,10955,037,311391
1302108,Triângulo,Japurá,AM,Norte,9420,037,311391
1302207,Triângulo,Juruá,AM,Norte,11093,037,311391
1302306,Triângulo,Jutaí,AM,Norte,28202,037,311391
1302405,Amazonas,Lábrea,AM,Norte,49469,037,311391
1302504,Rio Negro e Solimões,Manacapuru,AM,Norte,111751,037,311391
1302553,Entorno de Manaus,Manaquiri,AM,Norte,16211,037,311391
1302603,Entorno de Manaus,Manaus,AM,Norte,2303732,037,311391
1302702,Amazonas,Manicoré,AM,Norte,58018,037,311391
1302801,Triângulo,Maraã,AM,Norte,15815,037,311391
1302900,Baixo Amazonas,Maués,AM,Norte,66336,037,311391
1303007,Baixo Amazonas,Nhamundá,AM,Norte,21251,037,311391
1303106,Entorno de Manaus,Nova Olinda do Norte,AM,Norte,28123,037,311391
1303205,Rio Negro e Solimões,Novo Airão,AM,Norte,16562,037,311391
1303304,Amazonas,Novo Aripuanã,AM,Norte,25325,037,311391
1303403,Baixo Amazonas,Parintins,AM,Norte,101855,037,311391
1303502,Amazonas,Pauini,AM,Norte,20229,037,311391
1303536,Entorno de Manaus,Presidente Figueiredo,AM,Norte,33291,037,311391
1303569,Entorno de Manaus,Rio Preto da Eva,AM,Norte,25364,037,311391
1303601,Amazonas,Santa Isabel do Rio Negro,AM,Norte,13947,037,311391
1303700,Alto Solimões,Santo Antônio do Içá,AM,Norte,30679,037,311391
1303809,Amazonas,São Gabriel da Cachoeira,AM,Norte,57396,037,311391
1303908,Alto Solimões,São Paulo de Olivença,AM,Norte,35442,037,311391
1303957,Médio Amazonas,São Sebastião do Uatumã,AM,Norte,12338,037,311391
1304005,Médio Amazonas,Silves,AM,Norte,12619,037,311391
1304062,Alto Solimões,Tabatinga,AM,Norte,73348,037,311391
1304104,Amazonas,Tapauá,AM,Norte,20728,037,311391
1304203,Triângulo,Tefé,AM,Norte,80137,037,311391
1304237,Alto Solimões,Tonantins,AM,Norte,20257,037,311391
1304260,Triângulo,Uarini,AM,Norte,15640,037,311391
1304302,Médio Amazonas,Urucará,AM,Norte,19617,037,311391
1304401,Médio Amazonas,Urucurituba,AM,Norte,25965,037,311391
1400027,Secretaria Estadual de Saúde,Amajari,RR,Norte,16112,001,314315
1400050,Secretaria Estadual de Saúde,Alto Alegre,RR,Norte,23589,001,314315
1400100,Secretaria Estadual de Saúde,Boa Vista,RR,Norte,485477,118,418242
1400159,Secretaria Estadual de Saúde,Bonfim,RR,Norte,15570,001,314315
1400175,Secretaria Estadual de Saúde,Cantá,RR,Norte,21102,001,314315
1400209,Secretaria Estadual de Saúde,Caracaraí,RR,Norte,22750,001,314315
1400233,Secretaria Estadual de Saúde,Caroebe,RR,Norte,12004,001,314315
1400282,Secretaria Estadual de Saúde,Iracema,RR,Norte,10937,001,314315
