id_singular,tipo,subtipo,valor,principal
001,Email,Divulgação,uniodonto.br@uniodonto.coop.br,1
001,Website,Institucional,https://www.uniodonto.coop.br,1
002,Email,Divulgação,uniodonto@uniodontosantos.com.br,1
002,Website,Institucional,https://www.uniodontosantos.com.br,1
003,Email,Divulgação,admsc@uniodontovtrp.com.br,1
003,Website,Institucional,https://www.uniodontovtrp.com.br,1
004,Website,Institucional,https://www.uniodontocampogrande.com.br,1
005,Email,Divulgação,uniodontoere@gmail.com,1
005,Website,Institucional,https://www.uniodontoerechim.com.br,1
006,Email,Divulgação,atendimento@uniodontopoa.com.br,1
006,Website,Institucional,https://www.uniodontopoa.com.br,1
007,Email,Divulgação,admgeral@uniodonto-sp.com.br,1
007,Email,Divulgação,uniodonto@uniodontocampinas.com.br ,1
007,Website,Institucional,https://uniodontocampinas.com.br/,1
007,Website,Institucional,https://www.uniodonto-sp.com.br,1
009,Email,Divulgação,uniodontobh@uniodontobh.org.br9,1
009,Website,Institucional,https://www.uniodontobh.com.br,1
011,Email,Divulgação,atendimentobnu1@uniodontosc.com.br,1
011,Website,Institucional,https://www.uniodontosc.coop.br,1
014,Email,Divulgação,uniodontopf@yahoo.com.br,1
014,Website,Institucional,https://uniodontopassofundo.com,1
015,Email,Divulgação,uniodontouberaba@uniodontouberaba.com.br,1
015,Website,Institucional,https://www.uniodontouberaba.com.br/,1
016,Email,Divulgação,newsletter@uniodontopiracicaba.com.br,1
016,Website,Institucional,https://www.uniodontopiracicaba.com.br,1
017,Email,Divulgação,gerencia@uniodontorn.com.br,1
017,Website,Institucional,https://www.uniodontorn.com.br,1
018,Email,Divulgação,financeiro@uniodontosulms.com.br,1
018,Website,Institucional,https://www.uniodontosulms.com.br,1
019,Email,Divulgação,falecom@uniodontosalvador.com.br,1
019,Website,Institucional,https://www.uniodontosalvador.com.br,1
020,Email,Divulgação,secretaria@uniodontogoiania.com.br,1
020,Website,Institucional,https://uniodontogoiania.coop.br/,1
024,Email,Divulgação,uniodontorio@uniodontorio.com.br,1
024,Website,Institucional,https://www.uniodontorio.com.br,1
026,Email,Divulgação,ouvidoria@uniodontoriopreto.com.br,1
026,Website,Institucional,https://uniodontoriopreto.com.br/uniodonto/,1
028,Email,Divulgação,uniodontosaocarlos@terra.com.br,1
028,Website,Institucional,https://www.uniodontosaocarlos.com.br,1
029,Email,Divulgação,comercial@uniodontobelem.com.br,1
029,Website,Institucional,https://www.uniodontobelem.com.br,1
030,Email,Divulgação,uniodontofs@gmail.com.br,1
030,Website,Institucional,https://uniodontofeiradesantana.com.br,1
031,Email,Divulgação,secretaria@uniodontosorocaba.com.br,1
031,Website,Institucional,https://www.uniodontosorocaba.com,1
033,Email,Divulgação,uniodontojp@uniodontojp.com.br,1
033,Website,Institucional,https://www.uniodontojp.com.br/,1
034,Email,Divulgação,gerencia@uniodontojundiai.com.br,1
034,Website,Institucional,https://www.uniodontojundiai.com.br,1
036,Email,Divulgação,comercial@uniodontorecife.com.br,1
036,Website,Institucional,https://www.uniodontorecife.com.br,1
037,Email,Divulgação,comunicacao@uniodontomao.com.br,0
037,Email,Divulgação,diretoria@uniodontomao.com.br,1
037,Website,Institucional,https://www.uniodontomanaus.com.br,1
038,Email,Divulgação,uniodonto@uniodontomaceio.com.br,1
038,Website,Institucional,https://www.uniodontomaceio.com.br,1
040,Email,Divulgação,vendas@uniodonto-ce.com.br,1
040,Website,Institucional,https://www.uniodonto-ce.com.br/,1
041,Email,Divulgação,uniodonto@uniodontoitajuba.com.br,1
041,Website,Institucional,https://www.uniodontoitajuba.com.br,1
042,Email,Divulgação,gerencia@uniodontosm.com.br,1
042,Website,Institucional,https://www.uniodontosm.com.br,1
043,Email,Divulgação,atendimento@uniodontolimeira.com.br,1
043,Website,Institucional,https://www.uniodontolimeira.com.br,1
